counter,product_name,price,url,star,rating,reviews
1,HP 15s Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) 15s-du1044tu Thin and Light Laptop,"₹23,990",https://www.flipkart.com/hp-15s-celeron-dual-core-4-gb-1-tb-hdd-windows-10-home-15s-du1044tu-thin-light-laptop/p/itm84a33f9a78403?pid=COMFTPHUHGGK9YKZ&lid=LSTCOMFTPHUHGGK9YKZ3UEZPX&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFTPHUHGGK9YKZ.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.2,91 Ratings , 13 Reviews
2,HP 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-ck2018TU Thin and Light Laptop,"₹47,490",https://www.flipkart.com/hp-14-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-14-ck2018tu-thin-light-laptop/p/itm0b2aab6f42997?pid=COMFVD2WVZWBNKZA&lid=LSTCOMFVD2WVZWBNKZAP4TG2S&marketplace=FLIPKART&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFVD2WVZWBNKZA.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.2,"1,318 Ratings ", 128 Reviews
3,Asus Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) X413JA-EK267T Thin and Light Laptop,"₹36,990",https://www.flipkart.com/asus-core-i3-10th-gen-4-gb-512-gb-ssd-windows-10-home-x413ja-ek267t-thin-light-laptop/p/itm418a1ba09b88f?pid=COMFTWZD9Z8VVABB&lid=LSTCOMFTWZD9Z8VVABBA4VHKD&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFTWZD9Z8VVABB.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.4,386 Ratings , 76 Reviews
4,Lenovo Ideapad S145 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) S145-15IKB Laptop,"₹30,990",https://www.flipkart.com/lenovo-ideapad-s145-core-i3-7th-gen-4-gb-1-tb-hdd-windows-10-home-s145-15ikb-laptop/p/itm86ca16c42c20f?pid=COMFUGF8YY4HYBUM&lid=LSTCOMFUGF8YY4HYBUMIZFNF8&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFUGF8YY4HYBUM.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.1,"4,131 Ratings ", 465 Reviews
5,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graph...,"₹59,990",https://www.flipkart.com/lenovo-ideapad-gaming-3-ryzen-5-hexa-core-4600h-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-15arh05-laptop/p/itm8cc53c2585ee9?pid=COMFUGF8HUXGJK5B&lid=LSTCOMFUGF8HUXGJK5B42DYUS&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFUGF8HUXGJK5B.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.5,162 Ratings , 28 Reviews
6,HP 15 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) 15-db 1059AU Laptop,"₹30,990",https://www.flipkart.com/hp-15-ryzen-3-dual-core-3200u-4-gb-1-tb-hdd-windows-10-home-15-db-1059au-laptop/p/itmad2080fe450c4?pid=COMFSKF9QBHQCVEW&lid=LSTCOMFSKF9QBHQCVEW23WF6S&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFSKF9QBHQCVEW.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.1,292 Ratings , 45 Reviews
7,Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) S340 L...,"₹54,990",https://www.flipkart.com/lenovo-ideapad-s340-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-laptop/p/itm3646950e65746?pid=COMFRSC69NDYVKHK&lid=LSTCOMFRSC69NDYVKHKISYTSG&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFRSC69NDYVKHK.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.4,48 Ratings , 8 Reviews
8,Acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,"₹54,990",https://www.flipkart.com/acer-aspire-7-core-i5-9th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-a715-75g-51h8-gaming-laptop/p/itmb6b0ba7ba7c49?pid=COMFR6AAYHTCDHTG&lid=LSTCOMFR6AAYHTCDHTGRBZYBI&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFR6AAYHTCDHTG.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.4,504 Ratings , 75 Reviews
9,Asus TUF Gaming A17 Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,"₹63,990",https://www.flipkart.com/asus-tuf-gaming-a17-ryzen-5-hexa-core-4600h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-fa706ih-au016t-laptop/p/itm6c51cc353a7ad?pid=COMFRZFDF8GWTPCH&lid=LSTCOMFRZFDF8GWTPCHFH9PC5&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFRZFDF8GWTPCH.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.5,239 Ratings , 51 Reviews
10,HP 15 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) 15-db1069AU Laptop,"₹29,990",https://www.flipkart.com/hp-15-ryzen-3-dual-core-3200u-4-gb-1-tb-hdd-windows-10-home-15-db1069au-laptop/p/itmac27ac71e82f9?pid=COMFNXKS7TWWECNF&lid=LSTCOMFNXKS7TWWECNFKLRYMB&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFNXKS7TWWECNF.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.1,"2,686 Ratings ", 367 Reviews
